id,name,class
AJ_Cook_0001,AJ_Cook,0
AJ_Lamas_0001,AJ_Lamas,1
Aaron_Eckhart_0001,Aaron_Eckhart,2
Aaron_Guiel_0001,Aaron_Guiel,3
Aaron_Peirsol_0001,Aaron_Peirsol,4
Aaron_Peirsol_0002,Aaron_Peirsol,4
Aaron_Peirsol_0003,Aaron_Peirsol,4
Aaron_Peirsol_0004,Aaron_Peirsol,4
Aaron_Pena_0001,Aaron_Pena,5
Aaron_Sorkin_0001,Aaron_Sorkin,6
Aaron_Sorkin_0002,Aaron_Sorkin,6
Aaron_Tippin_0001,Aaron_Tippin,7
Abba_Eban_0001,Abba_Eban,8
Abbas_Kiarostami_0001,Abbas_Kiarostami,9
Abdel_Aziz_Al-Hakim_0001,Abdel_Aziz_Al-Hakim,10
Abdel_Madi_Shabneh_0001,Abdel_Madi_Shabneh,11
Abdel_Nasser_Assidi_0001,Abdel_Nasser_Assidi,12
Abdel_Nasser_Assidi_0002,Abdel_Nasser_Assidi,12
Abdoulaye_Wade_0001,Abdoulaye_Wade,13
Abdoulaye_Wade_0002,Abdoulaye_Wade,13
Abdoulaye_Wade_0003,Abdoulaye_Wade,13
Abdoulaye_Wade_0004,Abdoulaye_Wade,13
Abdul_Majeed_Shobokshi_0001,Abdul_Majeed_Shobokshi,14
Abdullah_0001,Abdullah,15
Abdullah_0002,Abdullah,15
Abdullah_0003,Abdullah,15
Abdullah_0004,Abdullah,15
Abdullah_Ahmad_Badawi_0001,Abdullah_Ahmad_Badawi,16
Abdullah_Nasseef_0001,Abdullah_Nasseef,17
Abdullah_al-Attiyah_0001,Abdullah_al-Attiyah,18
Abdullah_al-Attiyah_0002,Abdullah_al-Attiyah,18
Abdullah_al-Attiyah_0003,Abdullah_al-Attiyah,18
Abdullatif_Sener_0001,Abdullatif_Sener,19
Abdullatif_Sener_0002,Abdullatif_Sener,19
Abel_Aguilar_0001,Abel_Aguilar,20
Abel_Pacheco_0001,Abel_Pacheco,21
Abel_Pacheco_0002,Abel_Pacheco,21
Abel_Pacheco_0003,Abel_Pacheco,21
Abel_Pacheco_0004,Abel_Pacheco,21
Abid_Hamid_Mahmud_Al-Tikriti_0001,Abid_Hamid_Mahmud_Al-Tikriti,22
Abid_Hamid_Mahmud_Al-Tikriti_0002,Abid_Hamid_Mahmud_Al-Tikriti,22
Abid_Hamid_Mahmud_Al-Tikriti_0003,Abid_Hamid_Mahmud_Al-Tikriti,22
Abner_Martinez_0001,Abner_Martinez,23
Abraham_Foxman_0001,Abraham_Foxman,24
Aby_Har-Even_0001,Aby_Har-Even,25
Adam_Ant_0001,Adam_Ant,26
Adam_Freier_0001,Adam_Freier,27
Adam_Herbert_0001,Adam_Herbert,28
Adam_Rich_0001,Adam_Rich,29
Adam_Sandler_0001,Adam_Sandler,30
Adam_Sandler_0002,Adam_Sandler,30
Adam_Sandler_0003,Adam_Sandler,30
Adam_Sandler_0004,Adam_Sandler,30
Adam_Scott_0001,Adam_Scott,31
Adam_Scott_0002,Adam_Scott,31
Adelina_Avila_0001,Adelina_Avila,32
Adolfo_Aguilar_Zinser_0001,Adolfo_Aguilar_Zinser,33
Adolfo_Aguilar_Zinser_0002,Adolfo_Aguilar_Zinser,33
Adolfo_Aguilar_Zinser_0003,Adolfo_Aguilar_Zinser,33
Adolfo_Rodriguez_Saa_0001,Adolfo_Rodriguez_Saa,34
Adolfo_Rodriguez_Saa_0002,Adolfo_Rodriguez_Saa,34
Adoor_Gopalakarishnan_0001,Adoor_Gopalakarishnan,35
Adrian_Annus_0001,Adrian_Annus,36
Adrian_Fernandez_0001,Adrian_Fernandez,37
Adrian_McPherson_0001,Adrian_McPherson,38
Adrian_McPherson_0002,Adrian_McPherson,38
Adrianna_Zuzic_0001,Adrianna_Zuzic,39
Adrien_Brody_0001,Adrien_Brody,40
Adrien_Brody_0002,Adrien_Brody,40
Adrien_Brody_0003,Adrien_Brody,40
Adrien_Brody_0004,Adrien_Brody,40
Adrien_Brody_0005,Adrien_Brody,40
Adrien_Brody_0006,Adrien_Brody,40
Adrien_Brody_0007,Adrien_Brody,40
Adrien_Brody_0008,Adrien_Brody,40
Adrien_Brody_0009,Adrien_Brody,40
Adrien_Brody_0010,Adrien_Brody,40
Adrien_Brody_0011,Adrien_Brody,40
Adrien_Brody_0012,Adrien_Brody,40
Afton_Smith_0001,Afton_Smith,41
Agbani_Darego_0001,Agbani_Darego,42
Agnelo_Queiroz_0001,Agnelo_Queiroz,43
Ahmad_Masood_0001,Ahmad_Masood,44
Ahmad_Masood_0002,Ahmad_Masood,44
Ahmed_Ghazi_0001,Ahmed_Ghazi,45
Ahmed_Ibrahim_Bilal_0001,Ahmed_Ibrahim_Bilal,46
Ahmed_Qureia_0001,Ahmed_Qureia,47
Ahmet_Demir_0001,Ahmet_Demir,48
Ahmet_Necdet_Sezer_0001,Ahmet_Necdet_Sezer,49
Ahmet_Necdet_Sezer_0002,Ahmet_Necdet_Sezer,49
Ai_Sugiyama_0001,Ai_Sugiyama,50
Ai_Sugiyama_0002,Ai_Sugiyama,50
Ai_Sugiyama_0003,Ai_Sugiyama,50
Ai_Sugiyama_0004,Ai_Sugiyama,50
Ai_Sugiyama_0005,Ai_Sugiyama,50
Aicha_El_Ouafi_0001,Aicha_El_Ouafi,51
Aicha_El_Ouafi_0002,Aicha_El_Ouafi,51
Aicha_El_Ouafi_0003,Aicha_El_Ouafi,51
Aidan_Quinn_0001,Aidan_Quinn,52
Aileen_Riggin_Soule_0001,Aileen_Riggin_Soule,53
Ain_Seppik_0001,Ain_Seppik,54
Ainsworth_Dyer_0001,Ainsworth_Dyer,55
Aiysha_Smith_0001,Aiysha_Smith,56
Ajit_Agarkar_0001,Ajit_Agarkar,57
Akbar_Al_Baker_0001,Akbar_Al_Baker,58
Akbar_Hashemi_Rafsanjani_0001,Akbar_Hashemi_Rafsanjani,59
Akbar_Hashemi_Rafsanjani_0002,Akbar_Hashemi_Rafsanjani,59
Akbar_Hashemi_Rafsanjani_0003,Akbar_Hashemi_Rafsanjani,59
Akhmed_Zakayev_0001,Akhmed_Zakayev,60
Akhmed_Zakayev_0002,Akhmed_Zakayev,60
Akhmed_Zakayev_0003,Akhmed_Zakayev,60
Akiko_Morigami_0001,Akiko_Morigami,61
Al_Cardenas_0001,Al_Cardenas,62
Al_Davis_0001,Al_Davis,63
Al_Davis_0002,Al_Davis,63
Al_Leiter_0001,Al_Leiter,64
Al_Pacino_0001,Al_Pacino,65
Al_Pacino_0002,Al_Pacino,65
Al_Pacino_0003,Al_Pacino,65
Al_Sharpton_0001,Al_Sharpton,66
Al_Sharpton_0002,Al_Sharpton,66
Al_Sharpton_0003,Al_Sharpton,66
Al_Sharpton_0004,Al_Sharpton,66
Al_Sharpton_0005,Al_Sharpton,66
Al_Sharpton_0006,Al_Sharpton,66
Al_Sharpton_0007,Al_Sharpton,66
Alain_Cervantes_0001,Alain_Cervantes,67
Alain_Ducasse_0001,Alain_Ducasse,68
Alan_Ball_0001,Alan_Ball,69
Alan_Ball_0002,Alan_Ball,69
Alan_Greer_0001,Alan_Greer,70
Alan_Stonecipher_0001,Alan_Stonecipher,71
Alanis_Morissette_0001,Alanis_Morissette,72
Alastair_Campbell_0001,Alastair_Campbell,73
Alastair_Campbell_0002,Alastair_Campbell,73
Alastair_Campbell_0003,Alastair_Campbell,73
Alastair_Campbell_0004,Alastair_Campbell,73
Alastair_Campbell_0005,Alastair_Campbell,73
Albert_Montanes_0001,Albert_Montanes,74
Albert_Pujols_0001,Albert_Pujols,75
Alberta_Lee_0001,Alberta_Lee,76
Alberto_Acosta_0001,Alberto_Acosta,77
Alberto_Gonzales_0001,Alberto_Gonzales,78
Alberto_Ruiz_Gallardon_0001,Alberto_Ruiz_Gallardon,79
Alberto_Ruiz_Gallardon_0002,Alberto_Ruiz_Gallardon,79
Alberto_Sordi_0001,Alberto_Sordi,80
Albrecht_Mentz_0001,Albrecht_Mentz,81
Albrecht_Mentz_0002,Albrecht_Mentz,81
Aldo_Paredes_0001,Aldo_Paredes,82
Aldo_Paredes_0002,Aldo_Paredes,82
Alec_Baldwin_0001,Alec_Baldwin,83
Alec_Baldwin_0002,Alec_Baldwin,83
Alec_Baldwin_0003,Alec_Baldwin,83
Alec_Baldwin_0004,Alec_Baldwin,83
Alecos_Markides_0001,Alecos_Markides,84
Alejandro_Atchugarry_0001,Alejandro_Atchugarry,85
Alejandro_Atchugarry_0002,Alejandro_Atchugarry,85
Alejandro_Avila_0001,Alejandro_Avila,86
Alejandro_Avila_0002,Alejandro_Avila,86
Alejandro_Avila_0003,Alejandro_Avila,86
Alejandro_Fernandez_0001,Alejandro_Fernandez,87
Alejandro_Lembo_0001,Alejandro_Lembo,88
Alejandro_Lerner_0001,Alejandro_Lerner,89
Alejandro_Lopez_0001,Alejandro_Lopez,90
Alejandro_Toledo_0001,Alejandro_Toledo,91
Alejandro_Toledo_0002,Alejandro_Toledo,91
Alejandro_Toledo_0003,Alejandro_Toledo,91
Alejandro_Toledo_0004,Alejandro_Toledo,91
Alejandro_Toledo_0005,Alejandro_Toledo,91
Alejandro_Toledo_0006,Alejandro_Toledo,91
Alejandro_Toledo_0007,Alejandro_Toledo,91
Alejandro_Toledo_0008,Alejandro_Toledo,91
Alejandro_Toledo_0009,Alejandro_Toledo,91
Alejandro_Toledo_0010,Alejandro_Toledo,91
Alejandro_Toledo_0011,Alejandro_Toledo,91
Alejandro_Toledo_0012,Alejandro_Toledo,91
Alejandro_Toledo_0013,Alejandro_Toledo,91
Alejandro_Toledo_0014,Alejandro_Toledo,91
Alejandro_Toledo_0015,Alejandro_Toledo,91
Alejandro_Toledo_0016,Alejandro_Toledo,91
Alejandro_Toledo_0017,Alejandro_Toledo,91
Alejandro_Toledo_0018,Alejandro_Toledo,91
Alejandro_Toledo_0019,Alejandro_Toledo,91
Alejandro_Toledo_0020,Alejandro_Toledo,91
Alejandro_Toledo_0021,Alejandro_Toledo,91
Alejandro_Toledo_0022,Alejandro_Toledo,91
Alejandro_Toledo_0023,Alejandro_Toledo,91
Alejandro_Toledo_0024,Alejandro_Toledo,91
Alejandro_Toledo_0025,Alejandro_Toledo,91
Alejandro_Toledo_0026,Alejandro_Toledo,91
Alejandro_Toledo_0027,Alejandro_Toledo,91
Alejandro_Toledo_0028,Alejandro_Toledo,91
Alejandro_Toledo_0029,Alejandro_Toledo,91
Alejandro_Toledo_0030,Alejandro_Toledo,91
